FECHA DE APERTURA,DIA DE APERTURA,FISICA,VERBAL,ECONOMICA,PSICOLOGICA,SEXUAL,GENERO M/F VICTIMA,EDAD_VICTIMA_NUM,GENERO AGRESOR M/F,EDAD_AGRESOR_NUM,PARENTESCO FRENTE A LA VICTIMA,COMUNA DE LA VICTIMA,TOTAL_ABUSE_TYPES,IS_INTRAFAMILIAL,IS_MULTIDIMENSIONAL,HAS_PSYCHOLOGICAL,SEVERITY_LEVEL
2022-05-24T00:00:00.000,martes,si,si,no,si,no,masculino,10.0,femenino,30.0,madre,comuna 8,3,True,True,True,High
2022-05-24T00:00:00.000,martes,si,si,no,si,no,femenino,13.0,femenino,30.0,madre,comuna 8,3,True,True,True,High
2022-05-24T00:00:00.000,martes,si,si,no,si,no,femenino,3.0,femenino,30.0,madre,comuna 8,3,True,True,True,High
2022-05-24T00:00:00.000,martes,si,si,no,si,no,femenino,7.0,femenino,30.0,madre,comuna 8,3,True,True,True,High
2022-05-25T00:00:00.000,miercoles,no,no,no,si,no,femenino,5.0,femenino,33.0,madre,comuna 8,1,True,False,True,Low
2022-06-02T00:00:00.000,jueves,si,si,no,si,no,femenino,5.0,femenino,5.0,madre,comuna7,3,True,True,True,High
2022-06-05T00:00:00.000,domingo,si,si,no,si,si,femenino,11.0,femenino,,abuela,comuna3,4,False,True,True,High
2022-06-05T00:00:00.000,domingo,si,si,no,si,si,femenino,10.0,femenino,,abuela,comuna3,4,False,True,True,High
2022-06-06T00:00:00.000,lunes,no,si,no,si,no,masculino,2.0,femenino,,madre,no aplica,2,True,True,True,Medium
2022-06-06T00:00:00.000,lunes,no,si,no,si,no,masculino,8.0,masculino,,arrendador,comuna5,2,False,True,True,Medium
2022-06-06T00:00:00.000,lunes,no,si,no,si,no,masculino,12.0,masculino,,arrendador,comuna5,2,False,True,True,Medium
2022-06-06T00:00:00.000,lunes,si,si,no,si,no,masculino,12.0,femenino,,no aplica,comuna7,3,False,True,True,High
2022-06-08T00:00:00.000,miercoles,si,si,no,si,no,masculino,4.0,masculino,,no aplica,comuna5,3,False,True,True,High
2022-06-08T00:00:00.000,miercoles,si,si,no,si,no,masculino,3.0,femenino,3.0,madre,comuna1,3,True,True,True,High
2022-06-12T00:00:00.000,domingo,no,si,no,si,si,femenino,12.0,femenino,,madre,comuna7,3,True,True,True,High
2022-06-13T00:00:00.000,lunes,si,si,no,si,no,femenino,1.0,femenino,,madre,no aplica,3,True,True,True,High
2022-06-24T00:00:00.000,viernes,si,si,no,si,no,femenino,3.0,femenino,,madre,comuna3,3,True,True,True,High
2022-06-27T00:00:00.000,lunes,si,si,no,si,no,masculino,6.0,masculino,,padre,comuna7,3,True,True,True,High
2022-06-21T00:00:00.000,martes,no,no,no,si,si,femenino,14.0,masculino,14.0,padre,comuna7,2,True,True,True,Medium
2022-06-30T00:00:00.000,jueves,no,si,no,si,no,femenino,12.0,femenino,8.0,madre,comuna7,2,True,True,True,Medium
2022-06-02T00:00:00.000,jueves,si,si,no,si,no,femenino,5.0,femenino,12.0,nieta,no aplica,3,False,True,True,High
2022-06-09T00:00:00.000,jueves,no,no,no,si,no,femenino,16.0,femenino,,madre,comuna 8,1,True,False,True,Low
2022-06-01T00:00:00.000,miercoles,si,si,no,si,no,masculino,5.0,masculino,38.0,padre,comuna1,3,True,True,True,High
2022-06-09T00:00:00.000,jueves,si,si,no,si,no,femenino,8.0,femenino,28.0,madre,comuna1,3,True,True,True,High
2022-06-09T00:00:00.000,jueves,si,si,no,si,no,masculino,7.0,femenino,28.0,madre,comuna1,3,True,True,True,High
